WARD 1,,,
Precinct,Register Voters,Ballots Cast,Turnout %
30,100,30,30.00%
31,982,320,32.59%
32,737,171,23.20%
33,818,205,25.06%
34,1573,261,16.59%
35,933,183,19.61%
36,434,101,23.27%
37,959,214,22.31%
38,425,82,19.29%
39,557,129,23.16%
40,917,232,25.30%
41,538,121,22.49%
42,745,183,24.56%
43,937,223,23.80%
44,589,131,22.24%
45,700,201,28.71%
46,1110,380,34.23%
1,623,121,19.42%
2,740,191,25.81%
3,597,144,24.12%
4,588,176,29.93%
5,387,146,37.73%
6,299,163,54.52%
7,766,188,24.54%
8,698,208,29.80%
9,764,187,24.48%
10,865,255,29.48%
11,1357,373,27.49%
12,782,178,22.76%
13,791,246,31.10%
14,678,164,24.19%
15,132,58,43.94%
16,506,112,22.13%
17,642,152,23.68%
Total,"33,061","8,484",25.66%
,,,
WARD 29,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,824,367,44.54%
2,1133,314,27.71%
3,889,234,26.32%
4,921,267,28.99%
5,771,159,20.62%
6,783,176,22.48%
7,714,262,36.69%
8,903,160,17.72%
9,748,340,45.45%
10,807,383,47.46%
11,485,143,29.48%
12,896,312,34.82%
13,876,260,29.68%
14,715,230,32.17%
15,835,261,31.26%
16,821,227,27.65%
17,761,211,27.73%
18,836,234,27.99%
19,792,239,30.18%
20,1006,265,26.34%
21,1111,254,22.86%
22,680,208,30.59%
23,803,285,35.49%
24,708,219,30.93%
25,857,313,36.52%
26,719,264,36.72%
27,708,209,29.52%
28,975,265,27.18%
29,914,257,28.12%
30,874,377,43.14%
31,908,218,24.01%
32,881,224,25.43%
33,510,217,42.55%
34,527,183,34.72%
35,671,168,25.04%
36,664,214,32.23%
37,771,217,28.15%
38,909,227,24.97%
39,950,246,25.89%
40,1102,292,26.50%
41,699,187,26.75%
42,902,247,27.38%
43,790,321,40.63%
44,983,306,31.13%
Total,"36,132","10,962",30.34%
,,,
WARD 30,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,897,279,31.10%
2,923,284,30.77%
3,589,214,36.33%
4,839,238,28.37%
5,768,165,21.48%
6,741,238,32.12%
7,877,296,33.75%
8,963,326,33.85%
9,785,223,28.41%
10,986,273,27.69%
11,914,224,24.51%
12,869,193,22.21%
13,801,236,29.46%
14,681,141,20.70%
15,615,300,48.78%
16,495,137,27.68%
17,888,284,31.98%
18,1039,281,27.05%
19,1032,219,21.22%
20,867,275,31.72%
21,664,207,31.17%
22,1095,329,30.05%
23,955,245,25.65%
24,1100,330,30.00%
25,1182,353,29.86%
26,593,185,31.20%
27,579,186,32.12%
28,798,279,34.96%
29,633,113,17.85%
30,460,113,24.57%
31,522,185,35.44%
32,574,220,38.33%
Total,"25,724","7,571",29.43%
,,,
WARD 31,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,658,145,22.04%
2,551,140,25.41%
3,573,174,30.37%
4,639,242,37.87%
5,602,206,34.22%
6,478,149,31.17%
7,765,258,33.73%
8,552,126,22.83%
9,675,134,19.85%
10,593,136,22.93%
11,483,127,26.29%
12,534,153,28.65%
13,683,169,24.74%
14,597,151,25.29%
15,604,156,25.83%
16,660,197,29.85%
17,605,156,25.79%
18,594,140,23.57%
19,563,154,27.35%
20,571,144,25.22%
21,558,161,28.85%
22,603,120,19.90%
23,635,172,27.09%
24,612,193,31.54%
25,596,127,21.31%
26,603,191,31.67%
27,776,197,25.39%
28,566,113,19.96%
29,624,196,31.41%
30,561,112,19.96%
31,543,158,29.10%
32,588,126,21.43%
33,570,132,23.16%
34,646,158,24.46%
35,674,182,27.00%
36,594,202,34.01%
37,587,151,25.72%
38,578,123,21.28%
39,647,168,25.97%
40,683,173,25.33%
41,641,153,23.87%
Total,"24,865","6,565",26.40%
,,,
WARD 32,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,1042,319,30.61%
2,884,281,31.79%
3,849,389,45.82%
4,809,314,38.81%
5,833,301,36.13%
6,989,297,30.03%
7,927,284,30.64%
8,1013,322,31.79%
9,834,272,32.61%
10,912,313,34.32%
11,754,302,40.05%
12,634,264,41.64%
13,949,286,30.14%
14,816,354,43.38%
15,831,300,36.10%
16,855,306,35.79%
17,827,342,41.35%
18,799,291,36.42%
19,823,292,35.48%
20,806,310,38.46%
21,851,383,45.01%
22,1044,412,39.46%
23,882,340,38.55%
24,775,210,27.10%
25,838,303,36.16%
26,860,384,44.65%
27,861,299,34.73%
28,856,331,38.67%
29,866,336,38.80%
30,846,297,35.11%
31,893,307,34.38%
32,924,332,35.93%
33,870,350,40.23%
34,950,294,30.95%
35,905,291,32.15%
36,902,318,35.25%
37,918,259,28.21%
38,822,265,32.24%
39,936,333,35.58%
40,860,357,41.51%
41,881,355,40.30%
42,811,248,30.58%
43,724,302,41.71%
Total,"37,261","13,445",36.08%
,,,
WARD 33,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,944,370,39.19%
2,1275,482,37.80%
3,1140,497,43.60%
4,1190,450,37.82%
5,923,324,35.10%
6,835,306,36.65%
7,1062,395,37.19%
8,1002,579,57.78%
9,982,427,43.48%
10,846,395,46.69%
11,985,409,41.52%
12,969,346,35.71%
13,918,341,37.15%
14,510,165,32.35%
15,993,351,35.35%
16,1233,474,38.44%
17,1040,393,37.79%
18,1256,439,34.95%
19,1070,371,34.67%
20,1023,403,39.39%
21,973,380,39.05%
22,823,361,43.86%
23,870,423,48.62%
24,958,575,60.02%
25,1102,433,39.29%
26,734,271,36.92%
27,1094,374,34.19%
28,856,352,41.12%
Total,"27,606","11,086",40.16%
,,,
WARD 34,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,714,267,37.39%
2,601,261,43.43%
3,771,238,30.87%
4,674,145,21.51%
5,685,204,29.78%
6,792,266,33.59%
7,750,289,38.53%
8,664,180,27.11%
9,677,170,25.11%
10,697,247,35.44%
11,724,170,23.48%
12,749,293,39.12%
13,715,239,33.43%
14,713,181,25.39%
15,826,197,23.85%
16,728,196,26.92%
17,902,296,32.82%
18,643,184,28.62%
19,865,256,29.60%
20,753,314,41.70%
21,726,302,41.60%
22,651,276,42.40%
23,626,197,31.47%
24,710,210,29.58%
25,1052,349,33.17%
26,845,263,31.12%
27,673,194,28.83%
28,608,136,22.37%
29,643,188,29.24%
30,573,273,47.64%
31,753,199,26.43%
32,756,219,28.97%
33,668,185,27.69%
34,735,263,35.78%
35,857,273,31.86%
36,617,259,41.98%
37,626,128,20.45%
38,600,103,17.17%
39,648,148,22.84%
40,807,257,31.85%
41,573,155,27.05%
42,688,236,34.30%
43,601,266,44.26%
44,689,263,38.17%
45,718,255,35.52%
46,470,175,37.23%
47,760,210,27.63%
48,680,284,41.76%
49,600,239,39.83%
50,678,175,25.81%
51,689,279,40.49%
52,496,211,42.54%
53,594,129,21.72%
Total,"37,053","11,892",32.09%
,,,
WARD 35,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,868,305,35.14%
2,814,388,47.67%
3,854,218,25.53%
4,785,284,36.18%
5,764,248,32.46%
6,842,252,29.93%
7,816,263,32.23%
8,870,285,32.76%
9,824,288,34.95%
10,925,378,40.86%
11,964,327,33.92%
12,766,153,19.97%
13,803,137,17.06%
14,766,188,24.54%
15,999,334,33.43%
16,716,163,22.77%
17,899,326,36.26%
18,747,181,24.23%
19,735,122,16.60%
20,860,221,25.70%
21,838,267,31.86%
22,1049,319,30.41%
23,830,299,36.02%
24,805,280,34.78%
25,828,292,35.27%
26,764,255,33.38%
27,752,217,28.86%
28,806,292,36.23%
29,933,235,25.19%
30,880,244,27.73%
31,818,311,38.02%
Total,"25,920","8,072",31.14%
,,,
WARD 36,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,833,206,24.73%
2,851,175,20.56%
3,664,183,27.56%
4,929,154,16.58%
5,807,170,21.07%
6,769,162,21.07%
7,817,302,36.96%
8,717,141,19.67%
9,860,133,15.47%
10,964,250,25.93%
11,637,137,21.51%
12,697,109,15.64%
13,634,124,19.56%
14,788,252,31.98%
15,807,235,29.12%
16,792,264,33.33%
17,859,294,34.23%
18,848,248,29.25%
19,968,203,20.97%
20,859,236,27.47%
21,849,131,15.43%
22,787,128,16.26%
23,858,143,16.67%
24,927,211,22.76%
25,895,155,17.32%
26,813,221,27.18%
27,786,217,27.61%
28,812,199,24.51%
29,880,269,30.57%
30,821,212,25.82%
Total,"24,528","5,864",23.91%
,,,
WARD 37,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,758,139,18.34%
2,726,134,18.46%
3,701,127,18.12%
4,707,155,21.92%
5,778,263,33.80%
6,792,214,27.02%
7,686,141,20.55%
8,654,109,16.67%
9,822,197,23.97%
10,942,217,23.04%
11,645,136,21.09%
12,743,146,19.65%
13,684,132,19.30%
14,847,194,22.90%
15,825,241,29.21%
16,822,236,28.71%
17,697,179,25.68%
18,745,190,25.50%
19,790,123,15.57%
20,728,154,21.15%
21,783,187,23.88%
22,815,180,22.09%
23,727,201,27.65%
24,798,224,28.07%
25,728,173,23.76%
26,845,272,32.19%
27,785,222,28.28%
28,704,174,24.72%
29,771,202,26.20%
30,840,194,23.10%
31,834,220,26.38%
32,696,193,27.73%
33,821,248,30.21%
34,779,182,23.36%
35,762,240,31.50%
36,790,190,24.05%
37,1029,263,25.56%
38,803,245,30.51%
39,751,182,24.23%
40,758,237,31.27%
41,749,183,24.43%
Total,"31,660","7,839",24.76%
,,,
WARD 38,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,753,222,29.48%
2,750,388,51.73%
3,914,241,26.37%
4,791,256,32.36%
5,816,231,28.31%
6,894,241,26.96%
7,807,251,31.10%
8,809,223,27.56%
9,872,304,34.86%
10,754,207,27.45%
11,693,234,33.77%
12,829,308,37.15%
13,873,297,34.02%
14,846,296,34.99%
15,772,236,30.57%
16,799,289,36.17%
17,946,320,33.83%
18,818,299,36.55%
19,908,335,36.89%
20,833,293,35.17%
21,777,219,28.19%
22,758,265,34.96%
23,782,280,35.81%
24,820,299,36.46%
25,762,227,29.79%
26,858,278,32.40%
27,872,250,28.67%
28,934,338,36.19%
29,821,242,29.48%
30,896,242,27.01%
31,735,301,40.95%
32,827,223,26.96%
33,847,242,28.57%
34,817,287,35.13%
35,804,272,33.83%
36,733,220,30.01%
37,789,273,34.60%
38,785,243,30.96%
39,837,310,37.04%
40,769,274,35.63%
41,642,276,42.99%
Total,"33,342","11,032",33.09%
,,,
WARD 39,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,672,349,51.93%
2,752,364,48.40%
3,792,338,42.68%
4,668,321,48.05%
5,771,322,41.76%
6,860,288,33.49%
7,692,285,41.18%
8,894,323,36.13%
9,834,287,34.41%
10,360,159,44.17%
11,732,297,40.57%
12,1113,331,29.74%
13,799,241,30.16%
14,795,303,38.11%
15,858,359,41.84%
16,839,181,21.57%
17,748,360,48.13%
18,782,310,39.64%
19,790,330,41.77%
20,933,418,44.80%
21,737,313,42.47%
22,798,207,25.94%
23,717,377,52.58%
24,874,463,52.97%
25,774,196,25.32%
26,770,323,41.95%
27,112,69,61.61%
28,895,426,47.60%
29,513,150,29.24%
30,912,329,36.07%
31,807,258,31.97%
32,791,264,33.38%
33,953,342,35.89%
34,934,292,31.26%
35,802,316,39.40%
36,293,90,30.72%
37,626,356,56.87%
38,369,201,54.47%
39,461,210,45.55%
40,738,309,41.87%
41,761,383,50.33%
42,705,403,57.16%
43,748,358,47.86%
44,545,300,55.05%
45,652,363,55.67%
Total,"32,971","13,464",40.84%
,,,
WARD 40,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,858,294,34.27%
2,833,269,32.29%
3,949,410,43.20%
4,551,206,37.39%
5,824,375,45.51%
6,859,410,47.73%
7,727,388,53.37%
8,926,461,49.78%
9,774,259,33.46%
10,978,266,27.20%
11,776,410,52.84%
12,640,279,43.59%
13,1065,525,49.30%
14,837,231,27.60%
15,875,285,32.57%
16,905,494,54.59%
17,722,338,46.81%
18,836,202,24.16%
19,1032,375,36.34%
20,915,283,30.93%
21,861,451,52.38%
22,845,355,42.01%
23,889,482,54.22%
24,878,256,29.16%
25,833,419,50.30%
26,740,393,53.11%
27,1106,428,38.70%
28,855,387,45.26%
29,802,368,45.89%
30,691,362,52.39%
31,808,404,50.00%
32,813,406,49.94%
33,686,398,58.02%
34,790,281,35.57%
35,789,221,28.01%
36,684,345,50.44%
37,886,295,33.30%
38,876,453,51.71%
39,398,78,19.60%
Total,"32,112","13,542",42.17%
,,,
WARD 41,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,731,365,49.93%
2,736,402,54.62%
3,778,385,49.49%
4,702,426,60.68%
5,923,391,42.36%
6,791,476,60.18%
7,779,442,56.74%
8,715,394,55.10%
9,758,355,46.83%
10,729,478,65.57%
11,863,447,51.80%
12,887,371,41.83%
13,901,458,50.83%
14,751,444,59.12%
15,931,480,51.56%
16,756,360,47.62%
17,735,403,54.83%
18,700,368,52.57%
19,795,423,53.21%
20,624,282,45.19%
21,786,395,50.25%
22,801,448,55.93%
23,879,361,41.07%
24,783,364,46.49%
25,978,164,16.77%
26,692,366,52.89%
27,860,222,25.81%
28,988,218,22.06%
29,850,161,18.94%
30,782,347,44.37%
31,781,475,60.82%
32,656,299,45.58%
33,753,360,47.81%
34,709,383,54.02%
35,880,482,54.77%
36,734,382,52.04%
37,857,425,49.59%
38,770,353,45.84%
39,786,410,52.16%
40,814,475,58.35%
41,799,427,53.44%
42,749,365,48.73%
43,818,412,50.37%
44,766,438,57.18%
45,773,343,44.37%
46,758,394,51.98%
47,814,395,48.53%
Total,"37,201","18,014",48.42%
,,,
WARD 42,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,759,344,45.32%
2,1020,271,26.57%
3,944,280,29.66%
4,1929,448,23.22%
5,818,256,31.30%
6,790,421,53.29%
7,1038,376,36.22%
8,794,343,43.20%
9,1302,279,21.43%
10,1340,349,26.04%
11,625,287,45.92%
12,720,295,40.97%
13,672,394,58.63%
14,1230,288,23.41%
15,1116,275,24.64%
16,931,305,32.76%
17,1307,390,29.84%
18,1117,197,17.64%
19,1202,446,37.10%
20,1098,299,27.23%
21,1013,261,25.77%
22,513,143,27.88%
23,1049,349,33.27%
24,916,341,37.23%
25,1010,294,29.11%
26,1373,404,29.42%
27,613,263,42.90%
28,922,427,46.31%
29,951,318,33.44%
30,664,352,53.01%
31,1099,365,33.21%
32,1153,318,27.58%
33,1087,332,30.54%
34,805,332,41.24%
35,1146,377,32.90%
36,1682,379,22.53%
37,732,219,29.92%
38,867,288,33.22%
39,1416,326,23.02%
40,1235,368,29.80%
41,970,287,29.59%
42,1609,443,27.53%
Total,"43,577","13,729",31.51%
,,,
WARD 43,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,453,207,45.70%
2,808,332,41.09%
3,834,354,42.45%
4,1085,340,31.34%
5,730,313,42.88%
6,666,211,31.68%
7,584,258,44.18%
8,628,255,40.61%
9,890,400,44.94%
10,1001,449,44.86%
11,855,285,33.33%
12,572,229,40.03%
13,768,306,39.84%
14,802,440,54.86%
15,865,334,38.61%
16,1096,327,29.84%
17,663,281,42.38%
18,1015,407,40.10%
19,904,390,43.14%
20,961,383,39.85%
21,962,330,34.30%
22,587,235,40.03%
23,593,223,37.61%
24,743,276,37.15%
25,627,318,50.72%
26,531,275,51.79%
27,807,380,47.09%
28,1138,403,35.41%
29,822,332,40.39%
30,923,354,38.35%
31,902,374,41.46%
32,824,361,43.81%
33,818,374,45.72%
34,558,269,48.21%
35,926,402,43.41%
36,506,149,29.45%
37,988,307,31.07%
38,710,334,47.04%
39,861,276,32.06%
40,643,203,31.57%
41,1063,444,41.77%
42,814,319,39.19%
43,769,360,46.81%
44,809,323,39.93%
45,486,240,49.38%
46,498,168,33.73%
Total,"36,088","14,530",40.26%
,,,
WARD 44,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,1273,542,42.58%
2,908,397,43.72%
3,491,325,66.19%
4,796,378,47.49%
5,999,364,36.44%
6,1047,442,42.22%
7,600,334,55.67%
8,1248,448,35.90%
9,864,360,41.67%
10,967,316,32.68%
11,977,381,39.00%
12,863,407,47.16%
13,801,276,34.46%
14,849,298,35.10%
15,820,336,40.98%
16,978,399,40.80%
17,1109,495,44.63%
18,1038,319,30.73%
19,1003,429,42.77%
20,964,296,30.71%
21,1037,394,37.99%
22,903,429,47.51%
23,887,315,35.51%
24,610,318,52.13%
25,873,357,40.89%
26,983,428,43.54%
27,1011,411,40.65%
28,861,323,37.51%
29,975,344,35.28%
30,984,443,45.02%
31,813,282,34.69%
32,1020,422,41.37%
33,875,340,38.86%
34,927,416,44.88%
35,1045,507,48.52%
36,925,343,37.08%
37,908,404,44.49%
38,953,307,32.21%
39,917,355,38.71%
40,835,338,40.48%
41,1196,404,33.78%
Total,"38,133","15,422",40.44%
,,,
WARD 45,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,574,253,44.08%
2,712,265,37.22%
3,629,307,48.81%
4,833,412,49.46%
5,740,347,46.89%
6,935,486,51.98%
7,1063,467,43.93%
8,874,311,35.58%
9,828,300,36.23%
10,813,343,42.19%
11,630,219,34.76%
12,773,284,36.74%
13,629,315,50.08%
14,1075,393,36.56%
15,856,441,51.52%
16,679,315,46.39%
17,914,378,41.36%
18,893,311,34.83%
19,472,158,33.47%
20,629,221,35.14%
21,758,327,43.14%
22,808,273,33.79%
23,784,319,40.69%
24,664,289,43.52%
25,482,243,50.41%
26,448,196,43.75%
27,741,334,45.07%
28,674,282,41.84%
29,607,232,38.22%
30,743,286,38.49%
31,644,257,39.91%
32,716,275,38.41%
33,553,239,43.22%
34,816,363,44.49%
35,778,402,51.67%
36,761,377,49.54%
37,792,323,40.78%
38,792,301,38.01%
39,842,333,39.55%
40,753,334,44.36%
41,756,313,41.40%
42,701,363,51.78%
43,790,366,46.33%
44,745,417,55.97%
45,548,243,44.34%
46,627,242,38.60%
47,574,246,42.86%
48,654,312,47.71%
Total,"35,102","15,013",42.77%
,,,
WARD 46,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,773,317,41.01%
2,766,334,43.60%
3,920,449,48.80%
4,777,340,43.76%
5,1087,372,34.22%
6,831,302,36.34%
7,817,454,55.57%
8,745,275,36.91%
9,879,399,45.39%
10,1336,443,33.16%
11,921,341,37.02%
12,858,416,48.48%
13,788,323,40.99%
14,1054,328,31.12%
15,804,306,38.06%
16,901,441,48.95%
17,954,457,47.90%
18,984,397,40.35%
19,543,279,51.38%
20,809,302,37.33%
21,758,203,26.78%
22,798,289,36.22%
23,743,297,39.97%
24,903,413,45.74%
25,819,362,44.20%
26,927,350,37.76%
27,1036,442,42.66%
28,734,417,56.81%
29,711,311,43.74%
30,878,340,38.72%
31,822,308,37.47%
32,970,405,41.75%
33,865,392,45.32%
34,1071,411,38.38%
35,987,371,37.59%
36,718,366,50.97%
37,884,289,32.69%
38,969,285,29.41%
39,809,342,42.27%
40,707,349,49.36%
Total,"34,656","14,217",41.02%
,,,
WARD 47,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,519,229,44.12%
2,815,461,56.56%
3,781,469,60.05%
4,877,450,51.31%
5,869,420,48.33%
6,997,428,42.93%
7,791,333,42.10%
8,789,439,55.64%
9,817,366,44.80%
10,988,494,50.00%
11,847,359,42.38%
12,837,498,59.50%
13,798,406,50.88%
14,714,404,56.58%
15,976,468,47.95%
16,808,413,51.11%
17,827,400,48.37%
18,798,383,47.99%
19,1020,453,44.41%
20,754,375,49.73%
21,796,386,48.49%
22,816,455,55.76%
23,864,460,53.24%
24,840,391,46.55%
25,1037,442,42.62%
26,1039,483,46.49%
27,737,373,50.61%
28,761,407,53.48%
29,879,396,45.05%
30,972,501,51.54%
31,802,388,48.38%
32,960,472,49.17%
33,809,340,42.03%
34,808,425,52.60%
35,839,440,52.44%
36,913,430,47.10%
37,767,448,58.41%
38,789,423,53.61%
39,846,417,49.29%
40,768,444,57.81%
41,888,454,51.13%
42,808,413,51.11%
43,757,386,50.99%
44,920,353,38.37%
45,734,403,54.90%
46,801,404,50.44%
47,934,438,46.90%
48,87,58,66.67%
Total,"39,593","19,678",49.70%
,,,
WARD 48,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,746,331,44.37%
2,357,215,60.22%
3,984,364,36.99%
4,767,385,50.20%
5,418,275,65.79%
6,1039,377,36.28%
7,750,340,45.33%
8,450,213,47.33%
9,538,244,45.35%
10,965,535,55.44%
11,631,361,57.21%
12,941,445,47.29%
13,949,466,49.10%
14,423,218,51.54%
15,607,195,32.13%
16,919,331,36.02%
17,727,352,48.42%
18,677,279,41.21%
19,517,291,56.29%
20,856,423,49.42%
21,1122,444,39.57%
22,609,371,60.92%
23,865,393,45.43%
24,1023,365,35.68%
25,625,375,60.00%
26,402,147,36.57%
27,1377,318,23.09%
28,967,398,41.16%
29,433,265,61.20%
30,640,370,57.81%
31,1152,370,32.12%
32,855,321,37.54%
33,408,246,60.29%
34,650,313,48.15%
35,777,269,34.62%
36,412,251,60.92%
37,846,344,40.66%
38,748,442,59.09%
39,616,317,51.46%
40,621,322,51.85%
41,1000,368,36.80%
42,928,441,47.52%
43,847,362,42.74%
44,920,456,49.57%
45,551,288,52.27%
46,530,254,47.92%
Total,"34,185","15,450",45.20%
,,,
WARD 49,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,741,211,28.48%
2,545,247,45.32%
3,965,434,44.97%
4,1065,461,43.29%
5,959,437,45.57%
6,747,342,45.78%
7,760,330,43.42%
8,746,299,40.08%
9,877,390,44.47%
10,859,400,46.57%
11,991,447,45.11%
12,1023,477,46.63%
13,933,414,44.37%
14,748,348,46.52%
15,705,237,33.62%
16,863,374,43.34%
17,682,262,38.42%
18,1015,504,49.66%
19,877,286,32.61%
20,1115,573,51.39%
21,607,205,33.77%
22,965,394,40.83%
23,1064,474,44.55%
24,815,272,33.37%
25,1049,491,46.81%
26,959,433,45.15%
27,990,386,38.99%
28,1099,521,47.41%
29,992,462,46.57%
30,995,437,43.92%
31,708,309,43.64%
32,917,354,38.60%
33,784,320,40.82%
Total,"29,160","12,531",42.97%
,,,
WARD 50,,,
Precinct,Register Voters,Ballots Cast,Turnout %
1,726,299,41.18%
2,484,176,36.36%
3,652,282,43.25%
4,841,289,34.36%
5,589,228,38.71%
6,847,329,38.84%
7,744,363,48.79%
8,771,230,29.83%
9,713,241,33.80%
10,952,237,24.89%
11,586,212,36.18%
12,303,131,43.23%
13,1027,237,23.08%
14,248,116,46.77%
15,714,368,51.54%
16,244,103,42.21%
17,933,215,23.04%
18,165,104,63.03%
19,644,148,22.98%
20,794,281,35.39%
21,672,237,35.27%
22,822,220,26.76%
23,655,174,26.56%
24,738,244,33.06%
25,798,273,34.21%
26,964,224,23.24%
27,215,103,47.91%
28,958,294,30.69%
29,862,171,19.84%
30,647,158,24.42%
31,1030,255,24.76%
32,962,222,23.08%
33,589,268,45.50%
34,929,397,42.73%
35,873,343,39.29%
36,747,290,38.82%
37,730,271,37.12%
38,288,154,53.47%
39,649,157,24.19%
40,859,333,38.77%
Total,"27,964","9,377",33.53%
